G4110_2028412,552
G4040_2002938875,239
G4040_2010317450,5423
X0001_203600000005,22255
G4040_2001905575,405
G4040_2001375525,351
G4040_2005310800,119
G4040_2019974775,121
G4110_2026875,1793
G4040_2011513750,360
G4040_2001506200,1664
G4040_2015569825,105
G4040_2017564075,659
G4210_2062375,169
G4110_2054575,1
G4040_2000939875,585
G4040_2016533750,69
G4040_2008578125,340
G4110_2052275,563
G4110_2020125,1
G4040_2003943450,41
G4210_2003675,11
G4040_2016122950,233
G4040_2003530525,338
G4040_2016371229,42
G4040_2006135750,16991
G4110_2079675,3
G4040_2012153250,1981
G4040_2000141725,182
G4110_2010925,2
G4040_2009953475,1308
G4110_2071575,68
G5220_20046,21214
X0005_2019100002,9353
G4040_2015740325,108
G4040_2020108250,196
X0001_207900000001,59728
X0029_200456000ver,7
G4110_2043900,25
G4040_2005930300,1238
G4040_2016371246,2038
G4110_2080925,1
G4040_2014367950,150
X0029_2009320003-6,2035
G4040_2003927600,41
G4040_2016929275,396
G4110_2024175,2
G4110_2036875,3
X0029_201149000cen,7848
G4110_2026500,5
G4040_2007321825,1673
G5420_2006210,675
G4040_2004776125,115
G4040_2019129175,328
G4110_2034625,2
G5210_20030,70047
G5420_2008730,20235
X0029_200525000003,1710
X0001_201780000001,4993
G4020_20161,74057
G4040_2011345975,826
G4040_2005354100,212
G4040_2010322325,9826
G4210_2076175,2
G4040_2017900300,72
G4040_2011519100,174
X0029_200324000001,775
G5220_20041,23304
G4040_2000750775,184
G5420_2012260,92827
G4040_2010955025,50
G4110_2012950,72
X0029_200000300005,1859
G4040_2004108925,484
G4040_2000358825,571
G4040_2006532200,1178
G4020_20071,1156
G4040_2007959350,390
G4110_2031100,16853
G5420_2005850,2868
G4110_2054700,5
G4110_2002900,6809
G4040_2019524500,62
G4040_2011158625,665
G4040_2015562850,539
G4210_2017900,6
X0029_200034900005,952
G5420_2008550,5140
G4110_2041575,3
X0029_20072900000l,715
G4110_2013675,0
G4040_2020780700,176
G4040_2019153335,153
X0029_200003700001,412
G4040_2011715850,231
G4110_2004625,2331
G4040_2015968200,1401
G4040_2001333200,456
G4110_2031375,7
G4040_2008736125,879
G4110_2037275,3
G4040_2002949600,125
G4110_2000475,1
G4210_2030250,3
G4040_2014563025,557
G4040_2014502825,61
G4110_2002675,4
G4040_2006140050,230
G4040_2003517950,328
G4040_2012326525,384
G4040_2011330225,231
G4210_2012450,6
G4210_2080650,38
G4040_2018558050,150
G4040_2019376650,145
G4110_2005925,2
G4040_2016512125,77
G4040_2014553000,59
G4110_2032825,1464
G4040_2005727350,2851
G4040_2002142350,195
G4110_2038175,154
G4110_2069850,9
G5420_2007320,4122
G4040_2018514125,107
G4110_2080350,1
G4040_2003168000,230
G4020_20125,32114
G4040_2004751100,114
G5220_20092,24118
G4040_2010903350,51
X0010_2000028,60160
G5420_2004260,1913
X0001_205757500001,3506
G4040_2018318300,94
G5420_2012540,3657
G4040_2020920000,4474
G5420_2000349,2778
G4040_2011525075,203
G5220_20017,22839
G5420_2009900,3202
X0005_2010300002,15269
X0005_2001500001,14473
G4040_2001170600,315
G4210_2051810,3086
G4040_2012561925,664
G4040_2004140625,1579
G5420_2008220,1833
G4110_2030575,0
X0029_2005040001/4,1359
G4110_2069275,0
G4040_2008540750,1099
G4020_20091,597574
G4040_2002314150,122
G4040_2004536075,3139
G4110_2005825,1
X0001_207325000004,1773
X0029_201226000002,30339
G5210_20005,72432
X0029_200825000005,1114
G4040_2005325575,118
G4110_2023725,1
G4040_2009910325,310
G4040_2017105175,151
G4110_2044300,25
X0029_201017000hav,1
G4040_2013766410,505
G4110_2069800,1
G4040_2005108950,907
G4040_2002707325,217
G4040_2020175850,324
G4040_2012172950,1315
G4110_2076050,11
G4110_2039450,51
X0029_2006480001/4,1882
G4110_2063950,339
G4110_2063350,2
G4040_2015977425,109
G4110_2029250,4
X0001_204600000002,3188
G4040_2003579875,504
G4040_2001732950,71
G4040_2009920750,386
G4040_2008751475,660
G4110_2074075,1
G4040_2016928375,3989
G4040_2009518650,188
G4110_2076350,76
G4040_2000340475,303
G5420_2000001,3310
G4040_2005142700,572
G4110_2053775,193373
G4110_2001050,0
X0006_2000009,296210
G4110_2047600,1
G4040_2018566975,80
X0029_2004710002/5,1257
G4040_2019701375,1207
G4110_2078050,10
G4040_2019552250,89
G4040_2011750850,207
G4040_2018744400,339
G4110_2049350,0
G4040_2007559325,421
G4110_2070675,1
G4040_2018307200,82
G5420_2012330,1624
X0029_2004440002/5,645
X0001_203907500001,8279
G4040_2014173000,48
G5420_2004410,3869
G5220_20105,22488
G4040_2006355050,201
G4210_2066475,12
X0010_2000008,69407
G5420_2009840,10223
G5220_20074,24343
G4040_2011519325,482
G4040_2001520100,3113
G5420_2003270,1196
G4040_2004141850,192
G4110_2068025,1
G4040_2019164000,470
G4110_2001575,2
G4040_2014913800,171
G4110_2027200,1
X0029_20114900000A,7094
G4040_2000347725,957
G4210_2009050,64
X0029_2006960002-5,1927
G4040_2020936000,153002
G4040_2005953575,2866
G4040_2001507500,434
G4040_2007504850,313
G4040_2000743550,92
G4110_2004250,1
G4040_2012168825,730
G4040_2003963050,41
G4110_2070625,0
G4110_2022025,2
G4040_2011760425,218
G4040_2013312500,5254
G4110_2029925,1
G4040_2009947850,494
G4040_2001514175,215
G4040_2011155825,986
G5220_20104,22611
X0029_200343000003,474
G4040_2016966050,2158
G4110_2019300,740
G4110_2047075,225
X0029_201176000002,1001
G4040_2016921925,557
G4020_20105,3013
G4210_2080500,5
G4040_2008566200,458
X0029_2005700003/6,1120
G4040_2014941000,133
X0029_200324000004,1604
G5220_20042,23661
G5420_2009420,1965
G5220_20108,24406
G4040_2011545800,444
G5420_2000346,1122
G4040_2016144275,8417
G5420_2012000,131406
G4040_2000700400,223
X0005_2009100003,102701
G5420_2004050,15277
G4040_2016371207,927
G5220_20052,23915
G4040_2006548250,72
G4110_2025750,1
G4040_2002167725,3048
G4040_2019736150,421
G4210_2006575,7
G4040_2015943525,899
G4040_2014705700,231
G5420_2008670,1366
G4040_2009125450,6449
X0001_205445000003,1145
G4040_2013701450,753
G4110_2059200,1
G5420_2000015,14485
G4040_2001574900,697
G4040_2009959425,1587
G5220_20032,23475
G5420_2009480,1601
G4040_2001717975,187
G4040_2020511375,396
G4040_2009153775,193373
G4040_2008344575,330
G5220_20056,23354
G4110_2053200,1335
G5420_2012180,20257
G4040_2000747050,152
G4110_2071450,604
G4040_2003573575,1266
G4110_2030775,1
G4040_2019351300,108
G4210_2076550,3
G4040_2012316875,81
G4040_2003522475,287
G4020_20191,22928
X0029_200750000001,786
X0006_2000002,288610
G4110_2003425,0
G4040_2008952125,87
G4110_2020675,0
G4040_2020573500,294
G4110_2054250,3670
G4040_2019368975,276
G4110_2033500,5
G4040_2006527175,47
G4020_20069,6020
G4040_2014324075,148
G5220_20110,24805
G4040_2014565275,102
G4040_2009929350,362
G4020_20009,26209
G4040_2000153075,314
G4040_2015558975,5693
X0029_2005130001/4,321
G5420_2008130,1075
G4110_2003150,32
G5210_20016,69926
G4040_2012518700,734
G5420_2005550,1384
G4040_2007335000,287
G5200_2002,734300
G4110_2054400,1
G4110_2056100,92
X0029_20032000000A,13732
G5420_2012630,2697
G4040_2018326150,68
G4040_2001556850,846
X0010_2000030,49424
G5420_2004350,1721
G4040_2004131400,829
G4040_2004771400,96
X0001_207900000005,60524
X0005_2020900008,23380
G4210_2064200,1
G4020_20023,2639
G5220_20016,22547
G4110_2020075,10606
G4040_2000769300,123
G4040_2005928750,500
G4110_2067175,1
